trial,exp,algorithm,corpus_size,noise_label,noise_min,noise_max,noise_range_pct,top_k,query,recall_at_k,ndcg_at_k,score_entropy,score_variance,enc_total_us
1,I,Combined,500,1%,0.99,1.01,1.0,10,Phytates in Beans: Anti-Nutrient or Anti-Cancer?,1.0,1.0,1.8867,0.002915,9192
1,I,Combined,500,1%,0.99,1.01,1.0,10,How Phytates Fight Cancer Cells,1.0,1.0,2.0253,0.002486,8536
1,I,Combined,500,1%,0.99,1.01,1.0,10,Colon Cancer Prevention: Is it the Fiber or the Phytates?,1.0,1.0,1.973,0.004373,8379
1,I,Combined,500,1%,0.99,1.01,1.0,10,Low Carb Diets Found to Feed Heart Disease,1.0,1.0,2.164,0.002447,8997
1,I,Combined,500,1%,0.99,1.01,1.0,10,How Curry Can Kill Cancer Cells,1.0,1.0,1.7481,0.001031,8514
1,I,Combined,500,1%,0.99,1.01,1.0,10,Testing Turmeric on Smokers,1.0,1.0,2.0253,0.000719,8446
1,I,Combined,500,1%,0.99,1.01,1.0,10,Alkylphenol Endocrine Disruptors and Allergies,1.0,1.0,1.2275,0.004199,8599
1,I,Combined,500,1%,0.99,1.01,1.0,10,Slowing Cognitive Decline with Berries,1.0,1.0,2.0253,0.00353,7862
1,I,Combined,500,1%,0.99,1.01,1.0,10,What is ‘Meat Glue’?,1.0,1.0,1.6957,0.00233,7462
1,I,Combined,500,1%,0.99,1.01,1.0,10,Is Liquid Smoke Safe?,1.0,1.0,1.8344,0.000897,7871
1,I,Combined,500,1%,0.99,1.01,1.0,10,Does Antioxidant Intake Matter for Stroke and Heart Disease?,1.0,1.0,2.0253,0.001196,8380
1,I,Combined,500,1%,0.99,1.01,1.0,10,Does Antioxidant Intake Matter for Cancer?,1.0,1.0,2.0253,0.001448,8962
1,I,Combined,500,1%,0.99,1.01,1.0,10,Is buying organic worth it? A review of the science in new DVD,1.0,1.0,1.6434,0.004093,8974
1,I,Combined,500,1%,0.99,1.01,1.0,10,Orange Aromatherapy for Anxiety,1.0,1.0,2.0253,0.004823,8186
1,I,Combined,500,1%,0.99,1.01,1.0,10,Food Manufacturers Get to Decide if Their Own Additives Are Safe,1.0,1.0,1.8344,0.001971,8750
1,I,Combined,500,1%,0.99,1.01,1.0,10,Meat Industry Wins Right to Sell Tainted Meat,1.0,1.0,2.164,0.00144,8414
1,I,Combined,500,1%,0.99,1.01,1.0,10,Chicken Salmonella Outbreaks Show Food Safety Systems Failure,1.0,1.0,2.0253,0.001651,8020
1,I,Combined,500,1%,0.99,1.01,1.0,10,Viral Food Poisoning from Pesticides?,1.0,1.0,1.6957,0.000682,7837
1,I,Combined,500,1%,0.99,1.01,1.0,10,The Reversal on Fish Oil,1.0,1.0,2.0253,0.005448,8020
1,I,Combined,500,1%,0.99,1.01,1.0,10,Are Multivitamins Just a Waste of Money?,1.0,1.0,1.7481,0.005765,9054
1,I,Combined,500,10%,0.9,1.1,10.0,10,Breast Cancer Cells Feed on Cholesterol,0.9,0.9442,2.0253,0.001533,18494
1,I,Combined,500,10%,0.9,1.1,10.0,10,Using Diet to Treat Asthma and Eczema,0.9,0.9452,1.8344,0.001877,14321
1,I,Combined,500,10%,0.9,1.1,10.0,10,Treating Asthma With Plants vs. Pills,1.0,1.0,1.8867,0.00083,13165
1,I,Combined,500,10%,0.9,1.1,10.0,10,How Fruits and Vegetables Can Treat Asthma,1.0,1.0,2.0253,0.000957,11511
1,I,Combined,500,10%,0.9,1.1,10.0,10,How Fruits and Vegetables Can Prevent Asthma,1.0,1.0,1.8344,0.000366,10252
1,I,Combined,500,10%,0.9,1.1,10.0,10,Our Tax Dollars Subsidize Unhealthy Foods,1.0,0.9999,1.6094,0.001022,10719
1,I,Combined,500,10%,0.9,1.1,10.0,10,Reducing Arsenic in Chicken and Rice,1.0,1.0,2.3026,0.000166,9670
1,I,Combined,500,10%,0.9,1.1,10.0,10,How Contaminated Are Our Children?,1.0,1.0,1.8867,0.000818,10210
1,I,Combined,500,10%,0.9,1.1,10.0,10,"Blood Type Diet Perceived as ""Crass Fraud""",1.0,1.0,1.8867,0.000523,10758
1,I,Combined,500,10%,0.9,1.1,10.0,10,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,1.0,1.0,2.0253,0.002105,9906
1,I,Combined,500,10%,0.9,1.1,10.0,10,Phytates in Beans: Anti-Nutrient or Anti-Cancer?,1.0,1.0,2.0253,0.002971,9111
1,I,Combined,500,10%,0.9,1.1,10.0,10,How Phytates Fight Cancer Cells,1.0,1.0,1.8867,0.002429,8197
1,I,Combined,500,10%,0.9,1.1,10.0,10,Colon Cancer Prevention: Is it the Fiber or the Phytates?,1.0,1.0,1.8867,0.004186,8733
1,I,Combined,500,10%,0.9,1.1,10.0,10,Low Carb Diets Found to Feed Heart Disease,1.0,1.0,2.164,0.002352,8428
1,I,Combined,500,10%,0.9,1.1,10.0,10,How Curry Can Kill Cancer Cells,1.0,1.0,1.7481,0.00099,8438
1,I,Combined,500,10%,0.9,1.1,10.0,10,Testing Turmeric on Smokers,1.0,1.0,2.3026,0.000648,8951
1,I,Combined,500,10%,0.9,1.1,10.0,10,Alkylphenol Endocrine Disruptors and Allergies,1.0,1.0,0.9404,0.004082,10320
1,I,Combined,500,10%,0.9,1.1,10.0,10,Slowing Cognitive Decline with Berries,1.0,0.9999,2.0253,0.003535,9371
1,I,Combined,500,10%,0.9,1.1,10.0,10,What is ‘Meat Glue’?,1.0,0.9999,1.8344,0.002316,9507
1,I,Combined,500,10%,0.9,1.1,10.0,10,Is Liquid Smoke Safe?,1.0,1.0,1.973,0.000878,9385
1,I,Combined,500,10%,0.9,1.1,10.0,10,Does Antioxidant Intake Matter for Stroke and Heart Disease?,1.0,1.0,2.0253,0.001264,8854
1,I,Combined,500,10%,0.9,1.1,10.0,10,Does Antioxidant Intake Matter for Cancer?,1.0,1.0,1.973,0.001478,9080
1,I,Combined,500,10%,0.9,1.1,10.0,10,Is buying organic worth it? A review of the science in new DVD,1.0,1.0,1.8344,0.003956,8673
1,I,Combined,500,10%,0.9,1.1,10.0,10,Orange Aromatherapy for Anxiety,1.0,1.0,2.0253,0.004846,8422
1,I,Combined,500,10%,0.9,1.1,10.0,10,Food Manufacturers Get to Decide if Their Own Additives Are Safe,1.0,1.0,2.164,0.001898,8780
1,I,Combined,500,10%,0.9,1.1,10.0,10,Meat Industry Wins Right to Sell Tainted Meat,1.0,1.0,2.0253,0.001424,8131
1,I,Combined,500,10%,0.9,1.1,10.0,10,Chicken Salmonella Outbreaks Show Food Safety Systems Failure,1.0,0.9994,1.973,0.001687,8362
1,I,Combined,500,10%,0.9,1.1,10.0,10,Viral Food Poisoning from Pesticides?,1.0,0.9999,1.8344,0.00063,8269
1,I,Combined,500,10%,0.9,1.1,10.0,10,The Reversal on Fish Oil,1.0,1.0,1.973,0.005377,8539
1,I,Combined,500,10%,0.9,1.1,10.0,10,Are Multivitamins Just a Waste of Money?,1.0,1.0,1.7481,0.005559,8477
1,I,Combined,500,30%,0.7,1.3,30.0,10,Breast Cancer Cells Feed on Cholesterol,0.9,0.9432,1.8867,0.001257,19378
1,I,Combined,500,30%,0.7,1.3,30.0,10,Using Diet to Treat Asthma and Eczema,0.8,0.8877,1.7481,0.001769,14254
1,I,Combined,500,30%,0.7,1.3,30.0,10,Treating Asthma With Plants vs. Pills,1.0,0.9999,1.7481,0.000828,12769
1,I,Combined,500,30%,0.7,1.3,30.0,10,How Fruits and Vegetables Can Treat Asthma,1.0,1.0,2.3026,0.000817,10605
1,I,Combined,500,30%,0.7,1.3,30.0,10,How Fruits and Vegetables Can Prevent Asthma,1.0,0.9998,1.8867,0.000329,10498
1,I,Combined,500,30%,0.7,1.3,30.0,10,Our Tax Dollars Subsidize Unhealthy Foods,1.0,0.9999,2.0253,0.001175,10425
1,I,Combined,500,30%,0.7,1.3,30.0,10,Reducing Arsenic in Chicken and Rice,1.0,1.0,2.164,0.000133,9544
1,I,Combined,500,30%,0.7,1.3,30.0,10,How Contaminated Are Our Children?,0.9,0.9423,2.0253,0.000546,10362
1,I,Combined,500,30%,0.7,1.3,30.0,10,"Blood Type Diet Perceived as ""Crass Fraud""",0.9,0.9414,2.0253,0.000456,9975
1,I,Combined,500,30%,0.7,1.3,30.0,10,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,0.8,0.8918,1.8867,0.001829,10077
1,I,Combined,500,30%,0.7,1.3,30.0,10,Phytates in Beans: Anti-Nutrient or Anti-Cancer?,1.0,1.0,1.6957,0.002725,8977
1,I,Combined,500,30%,0.7,1.3,30.0,10,How Phytates Fight Cancer Cells,1.0,0.9993,2.0253,0.002099,8463
1,I,Combined,500,30%,0.7,1.3,30.0,10,Colon Cancer Prevention: Is it the Fiber or the Phytates?,1.0,1.0,1.8344,0.003661,9015
1,I,Combined,500,30%,0.7,1.3,30.0,10,Low Carb Diets Found to Feed Heart Disease,1.0,1.0,2.164,0.00216,8823
1,I,Combined,500,30%,0.7,1.3,30.0,10,How Curry Can Kill Cancer Cells,1.0,0.9995,1.8867,0.000832,8753
1,I,Combined,500,30%,0.7,1.3,30.0,10,Testing Turmeric on Smokers,1.0,0.9984,2.0253,0.000635,8464
1,I,Combined,500,30%,0.7,1.3,30.0,10,Alkylphenol Endocrine Disruptors and Allergies,1.0,0.9998,1.2799,0.003371,8394
1,I,Combined,500,30%,0.7,1.3,30.0,10,Slowing Cognitive Decline with Berries,0.9,0.9506,1.8867,0.002979,8293
1,I,Combined,500,30%,0.7,1.3,30.0,10,What is ‘Meat Glue’?,1.0,0.9999,2.0253,0.002184,7833
1,I,Combined,500,30%,0.7,1.3,30.0,10,Is Liquid Smoke Safe?,1.0,0.9995,1.6094,0.000739,7871
1,I,Combined,500,30%,0.7,1.3,30.0,10,Does Antioxidant Intake Matter for Stroke and Heart Disease?,1.0,0.9999,1.8344,0.001174,8827
1,I,Combined,500,30%,0.7,1.3,30.0,10,Does Antioxidant Intake Matter for Cancer?,1.0,0.9997,2.0253,0.00125,8900
1,I,Combined,500,30%,0.7,1.3,30.0,10,Is buying organic worth it? A review of the science in new DVD,0.9,0.9496,1.6434,0.003541,8988
1,I,Combined,500,30%,0.7,1.3,30.0,10,Orange Aromatherapy for Anxiety,1.0,1.0,1.6957,0.004632,8021
1,I,Combined,500,30%,0.7,1.3,30.0,10,Food Manufacturers Get to Decide if Their Own Additives Are Safe,1.0,0.9998,2.164,0.001934,8286
1,I,Combined,500,30%,0.7,1.3,30.0,10,Meat Industry Wins Right to Sell Tainted Meat,1.0,1.0,1.8867,0.001438,9246
1,I,Combined,500,30%,0.7,1.3,30.0,10,Chicken Salmonella Outbreaks Show Food Safety Systems Failure,0.9,0.9477,1.973,0.001404,9649
1,I,Combined,500,30%,0.7,1.3,30.0,10,Viral Food Poisoning from Pesticides?,0.9,0.9408,2.164,0.000601,9165
1,I,Combined,500,30%,0.7,1.3,30.0,10,The Reversal on Fish Oil,1.0,1.0,1.973,0.005061,8771
1,I,Combined,500,30%,0.7,1.3,30.0,10,Are Multivitamins Just a Waste of Money?,1.0,1.0,1.973,0.005503,8303
1,I,Combined,500,50%,0.5,1.5,50.0,10,Breast Cancer Cells Feed on Cholesterol,0.9,0.9439,2.0253,0.00102,16863
1,I,Combined,500,50%,0.5,1.5,50.0,10,Using Diet to Treat Asthma and Eczema,0.8,0.8824,1.7481,0.001346,12870
1,I,Combined,500,50%,0.5,1.5,50.0,10,Treating Asthma With Plants vs. Pills,0.9,0.9429,1.6094,0.000715,12388
1,I,Combined,500,50%,0.5,1.5,50.0,10,How Fruits and Vegetables Can Treat Asthma,0.9,0.9448,2.0253,0.000812,12015
1,I,Combined,500,50%,0.5,1.5,50.0,10,How Fruits and Vegetables Can Prevent Asthma,1.0,0.9994,1.8344,0.000371,10532
1,I,Combined,500,50%,0.5,1.5,50.0,10,Our Tax Dollars Subsidize Unhealthy Foods,0.8,0.8798,1.8344,0.000582,11295
1,I,Combined,500,50%,0.5,1.5,50.0,10,Reducing Arsenic in Chicken and Rice,1.0,0.9986,2.0253,0.000138,9981
1,I,Combined,500,50%,0.5,1.5,50.0,10,How Contaminated Are Our Children?,0.9,0.9424,2.0253,0.000548,8318
1,I,Combined,500,50%,0.5,1.5,50.0,10,"Blood Type Diet Perceived as ""Crass Fraud""",0.8,0.8743,2.0253,0.00043,8687
1,I,Combined,500,50%,0.5,1.5,50.0,10,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,1.0,1.0,2.0253,0.001479,8927
1,I,Combined,500,50%,0.5,1.5,50.0,10,Phytates in Beans: Anti-Nutrient or Anti-Cancer?,0.9,0.9406,1.6957,0.002136,8401
1,I,Combined,500,50%,0.5,1.5,50.0,10,How Phytates Fight Cancer Cells,1.0,1.0,2.164,0.001502,8296
1,I,Combined,500,50%,0.5,1.5,50.0,10,Colon Cancer Prevention: Is it the Fiber or the Phytates?,0.9,0.9402,1.8344,0.002975,8567
1,I,Combined,500,50%,0.5,1.5,50.0,10,Low Carb Diets Found to Feed Heart Disease,0.9,0.946,2.164,0.001751,8570
1,I,Combined,500,50%,0.5,1.5,50.0,10,How Curry Can Kill Cancer Cells,1.0,1.0,2.164,0.000568,8178
1,I,Combined,500,50%,0.5,1.5,50.0,10,Testing Turmeric on Smokers,1.0,1.0,2.0253,0.00049,7921
1,I,Combined,500,50%,0.5,1.5,50.0,10,Alkylphenol Endocrine Disruptors and Allergies,0.9,0.9441,1.3592,0.002585,7894
1,I,Combined,500,50%,0.5,1.5,50.0,10,Slowing Cognitive Decline with Berries,0.9,0.9507,2.0253,0.001988,7724
1,I,Combined,500,50%,0.5,1.5,50.0,10,What is ‘Meat Glue’?,1.0,0.9999,1.8344,0.001456,7352
1,I,Combined,500,50%,0.5,1.5,50.0,10,Is Liquid Smoke Safe?,1.0,0.9991,1.8344,0.000577,7924
1,I,Combined,500,50%,0.5,1.5,50.0,10,Does Antioxidant Intake Matter for Stroke and Heart Disease?,1.0,0.9995,1.8344,0.000856,7917
1,I,Combined,500,50%,0.5,1.5,50.0,10,Does Antioxidant Intake Matter for Cancer?,0.8,0.8834,2.164,0.001204,8249
1,I,Combined,500,50%,0.5,1.5,50.0,10,Is buying organic worth it? A review of the science in new DVD,1.0,0.9999,2.0253,0.002728,7976
1,I,Combined,500,50%,0.5,1.5,50.0,10,Orange Aromatherapy for Anxiety,0.9,0.9488,2.164,0.003108,7993
1,I,Combined,500,50%,0.5,1.5,50.0,10,Food Manufacturers Get to Decide if Their Own Additives Are Safe,1.0,0.9993,1.973,0.001379,7895
1,I,Combined,500,50%,0.5,1.5,50.0,10,Meat Industry Wins Right to Sell Tainted Meat,0.9,0.9473,2.164,0.001001,8022
1,I,Combined,500,50%,0.5,1.5,50.0,10,Chicken Salmonella Outbreaks Show Food Safety Systems Failure,1.0,0.9996,2.0253,0.001076,8407
1,I,Combined,500,50%,0.5,1.5,50.0,10,Viral Food Poisoning from Pesticides?,0.9,0.9389,2.0253,0.000504,7822
1,I,Combined,500,50%,0.5,1.5,50.0,10,The Reversal on Fish Oil,1.0,1.0,2.0253,0.003416,7653
1,I,Combined,500,50%,0.5,1.5,50.0,10,Are Multivitamins Just a Waste of Money?,0.9,0.9507,1.8867,0.003884,8172
1,I,Combined,500,70%,0.3,1.7,70.0,10,Breast Cancer Cells Feed on Cholesterol,0.8,0.8768,1.973,0.000563,18638
1,I,Combined,500,70%,0.3,1.7,70.0,10,Using Diet to Treat Asthma and Eczema,0.8,0.8876,1.8344,0.000824,13783
1,I,Combined,500,70%,0.3,1.7,70.0,10,Treating Asthma With Plants vs. Pills,0.9,0.9365,2.0253,0.00054,12353
1,I,Combined,500,70%,0.3,1.7,70.0,10,How Fruits and Vegetables Can Treat Asthma,0.9,0.9419,2.3026,0.000621,11615
1,I,Combined,500,70%,0.3,1.7,70.0,10,How Fruits and Vegetables Can Prevent Asthma,1.0,0.9999,2.164,0.000365,10366
1,I,Combined,500,70%,0.3,1.7,70.0,10,Our Tax Dollars Subsidize Unhealthy Foods,1.0,0.9978,1.6957,0.000541,10361
1,I,Combined,500,70%,0.3,1.7,70.0,10,Reducing Arsenic in Chicken and Rice,0.9,0.9323,1.6957,6.4e-05,8072
1,I,Combined,500,70%,0.3,1.7,70.0,10,How Contaminated Are Our Children?,1.0,0.9998,2.164,0.000243,8193
1,I,Combined,500,70%,0.3,1.7,70.0,10,"Blood Type Diet Perceived as ""Crass Fraud""",0.8,0.8746,1.8344,0.000252,8826
1,I,Combined,500,70%,0.3,1.7,70.0,10,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,1.0,0.9997,2.0253,0.00103,8280
1,I,Combined,500,70%,0.3,1.7,70.0,10,Phytates in Beans: Anti-Nutrient or Anti-Cancer?,0.8,0.8791,1.8867,0.001063,8220
1,I,Combined,500,70%,0.3,1.7,70.0,10,How Phytates Fight Cancer Cells,1.0,0.9964,2.0253,0.001015,7867
1,I,Combined,500,70%,0.3,1.7,70.0,10,Colon Cancer Prevention: Is it the Fiber or the Phytates?,0.9,0.9442,1.8867,0.001327,8084
1,I,Combined,500,70%,0.3,1.7,70.0,10,Low Carb Diets Found to Feed Heart Disease,0.9,0.9435,2.0253,0.00096,8232
1,I,Combined,500,70%,0.3,1.7,70.0,10,How Curry Can Kill Cancer Cells,0.9,0.944,2.164,0.00062,7836
1,I,Combined,500,70%,0.3,1.7,70.0,10,Testing Turmeric on Smokers,0.9,0.9397,1.8867,0.000393,7442
1,I,Combined,500,70%,0.3,1.7,70.0,10,Alkylphenol Endocrine Disruptors and Allergies,0.9,0.9444,1.4185,0.001903,8040
1,I,Combined,500,70%,0.3,1.7,70.0,10,Slowing Cognitive Decline with Berries,0.9,0.9505,2.164,0.00213,7437
1,I,Combined,500,70%,0.3,1.7,70.0,10,What is ‘Meat Glue’?,1.0,0.9999,2.164,0.000874,7769
1,I,Combined,500,70%,0.3,1.7,70.0,10,Is Liquid Smoke Safe?,1.0,0.999,1.8867,0.000469,7338
1,I,Combined,500,70%,0.3,1.7,70.0,10,Does Antioxidant Intake Matter for Stroke and Heart Disease?,0.9,0.9414,2.164,0.000515,8224
1,I,Combined,500,70%,0.3,1.7,70.0,10,Does Antioxidant Intake Matter for Cancer?,0.7,0.8141,2.164,0.000237,8244
1,I,Combined,500,70%,0.3,1.7,70.0,10,Is buying organic worth it? A review of the science in new DVD,0.9,0.9498,1.8344,0.002137,8328
1,I,Combined,500,70%,0.3,1.7,70.0,10,Orange Aromatherapy for Anxiety,1.0,0.9999,1.973,0.00181,7917
1,I,Combined,500,70%,0.3,1.7,70.0,10,Food Manufacturers Get to Decide if Their Own Additives Are Safe,0.9,0.9455,2.3026,0.000876,8226
1,I,Combined,500,70%,0.3,1.7,70.0,10,Meat Industry Wins Right to Sell Tainted Meat,1.0,0.9998,2.164,0.000573,7872
1,I,Combined,500,70%,0.3,1.7,70.0,10,Chicken Salmonella Outbreaks Show Food Safety Systems Failure,1.0,0.9994,1.8867,0.000552,8001
1,I,Combined,500,70%,0.3,1.7,70.0,10,Viral Food Poisoning from Pesticides?,0.9,0.9415,2.0253,0.000324,7905
1,I,Combined,500,70%,0.3,1.7,70.0,10,The Reversal on Fish Oil,1.0,0.9997,2.0253,0.002792,7165
1,I,Combined,500,70%,0.3,1.7,70.0,10,Are Multivitamins Just a Waste of Money?,1.0,1.0,1.7481,0.002799,7871
2,I,Combined,500,0%,1.0,1.0,0.0,10,Breast Cancer Cells Feed on Cholesterol,1.0,1.0,1.8344,0.001498,21304
2,I,Combined,500,0%,1.0,1.0,0.0,10,Using Diet to Treat Asthma and Eczema,1.0,1.0,1.6957,0.00193,14069
2,I,Combined,500,0%,1.0,1.0,0.0,10,Treating Asthma With Plants vs. Pills,1.0,1.0,1.973,0.000876,12235
2,I,Combined,500,0%,1.0,1.0,0.0,10,How Fruits and Vegetables Can Treat Asthma,1.0,1.0,1.8867,0.000962,12114
2,I,Combined,500,0%,1.0,1.0,0.0,10,How Fruits and Vegetables Can Prevent Asthma,1.0,1.0,1.7481,0.000364,10835
2,I,Combined,500,0%,1.0,1.0,0.0,10,Our Tax Dollars Subsidize Unhealthy Foods,1.0,1.0,1.8344,0.001076,9306
2,I,Combined,500,0%,1.0,1.0,0.0,10,Reducing Arsenic in Chicken and Rice,1.0,1.0,2.164,0.000167,9769
2,I,Combined,500,0%,1.0,1.0,0.0,10,How Contaminated Are Our Children?,1.0,1.0,2.0253,0.000807,10350
2,I,Combined,500,0%,1.0,1.0,0.0,10,"Blood Type Diet Perceived as ""Crass Fraud""",1.0,1.0,2.164,0.000548,9785
2,I,Combined,500,0%,1.0,1.0,0.0,10,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,1.0,1.0,2.0253,0.002139,8845
2,I,Combined,500,0%,1.0,1.0,0.0,10,Phytates in Beans: Anti-Nutrient or Anti-Cancer?,1.0,1.0,1.8867,0.002905,9382
2,I,Combined,500,0%,1.0,1.0,0.0,10,How Phytates Fight Cancer Cells,1.0,1.0,2.0253,0.002476,9079
2,I,Combined,500,0%,1.0,1.0,0.0,10,Colon Cancer Prevention: Is it the Fiber or the Phytates?,1.0,1.0,1.973,0.004381,8994
2,I,Combined,500,0%,1.0,1.0,0.0,10,Low Carb Diets Found to Feed Heart Disease,1.0,1.0,2.164,0.002445,8542
2,I,Combined,500,0%,1.0,1.0,0.0,10,How Curry Can Kill Cancer Cells,1.0,1.0,1.7481,0.001025,8490
2,I,Combined,500,0%,1.0,1.0,0.0,10,Testing Turmeric on Smokers,1.0,1.0,2.0253,0.00072,8143
2,I,Combined,500,0%,1.0,1.0,0.0,10,Alkylphenol Endocrine Disruptors and Allergies,1.0,1.0,1.2275,0.004178,8579
2,I,Combined,500,0%,1.0,1.0,0.0,10,Slowing Cognitive Decline with Berries,1.0,1.0,2.0253,0.003524,8750
2,I,Combined,500,0%,1.0,1.0,0.0,10,What is ‘Meat Glue’?,1.0,1.0,1.6957,0.002329,9123
2,I,Combined,500,0%,1.0,1.0,0.0,10,Is Liquid Smoke Safe?,1.0,1.0,1.8344,0.000891,8681
