trial,exp,algorithm,ds_quality,noise_label,noise_min,noise_max,noise_range_pct,top_k,query,recall_at_k,ndcg_at_k,score_entropy,score_variance,enc_total_us
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,How is asthma managed long-term?,1.0,1.0,2.0253,0.005206,16081
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,What are signs of kidney disease?,1.0,1.0,1.6957,0.004929,16155
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,Describe rheumatoid arthritis treatment,1.0,1.0,2.0253,0.007653,16361
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,What causes Parkinson's disease?,1.0,1.0,2.0253,0.009492,16486
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,How is multiple sclerosis diagnosed?,1.0,1.0,1.973,0.008736,16001
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,What are symptoms of anemia?,1.0,1.0,2.0253,0.004856,15420
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,How is hypothyroidism treated?,1.0,1.0,2.0253,0.006433,15110
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,What causes chronic pain?,1.0,1.0,1.973,0.000479,16311
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,Describe COPD management,1.0,1.0,2.0253,0.02079,18128
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,What are signs of liver disease?,1.0,1.0,1.8867,0.000723,18209
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,How is epilepsy treated?,1.0,1.0,1.8867,0.007861,15943
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,What causes osteoporosis?,1.0,1.0,2.0253,0.008779,14255
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,Describe symptoms of anxiety disorder,1.0,1.0,2.0253,0.012619,15717
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,What medications are used for HIV/AIDS?,1.0,1.0,2.164,0.006153,15056
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,How is pneumonia diagnosed?,1.0,1.0,2.0253,0.008521,15368
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,What causes inflammatory bowel disease?,1.0,1.0,1.6957,0.000441,15453
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,Describe treatment for chronic kidney disease,1.0,1.0,1.8867,0.008073,16003
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,What are symptoms of schizophrenia?,1.0,1.0,1.7481,0.011329,16592
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,How is bipolar disorder managed?,1.0,1.0,2.0253,0.009582,15864
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,What causes psoriasis?,1.0,1.0,1.8344,0.01464,15171
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,Describe sepsis treatment,1.0,1.0,2.0253,0.012893,16487
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,What are risk factors for cancer?,1.0,1.0,2.0253,0.000538,18225
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,How is ALS diagnosed?,1.0,1.0,1.8867,0.010718,15276
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,What are the symptoms of type 2 diabetes?,1.0,1.0,2.0253,0.005443,28542
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,How is hypertension treated?,1.0,1.0,2.164,0.007967,21356
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,What causes heart failure?,1.0,1.0,2.0253,0.001561,19020
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,Describe the symptoms of lupus,1.0,1.0,2.164,0.008092,17861
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,What medications treat depression?,1.0,1.0,1.8344,0.00581,17178
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,How does Alzheimer's disease progress?,1.0,1.0,2.0253,0.007909,16991
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,What are risk factors for stroke?,1.0,1.0,1.4979,0.007335,16680
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,How is asthma managed long-term?,1.0,1.0,2.0253,0.005141,16017
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,What are signs of kidney disease?,1.0,1.0,1.6957,0.004881,15969
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,Describe rheumatoid arthritis treatment,1.0,1.0,1.973,0.007496,16298
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,What causes Parkinson's disease?,1.0,1.0,2.0253,0.009453,15848
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,How is multiple sclerosis diagnosed?,1.0,1.0,1.973,0.008598,15726
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,What are symptoms of anemia?,1.0,1.0,2.0253,0.004811,16265
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,How is hypothyroidism treated?,1.0,1.0,2.0253,0.006296,17001
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,What causes chronic pain?,1.0,1.0,1.8344,0.000472,18651
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,Describe COPD management,1.0,1.0,2.0253,0.020718,15394
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,What are signs of liver disease?,1.0,1.0,1.8867,0.000693,15587
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,How is epilepsy treated?,1.0,1.0,1.8867,0.00784,15740
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,What causes osteoporosis?,1.0,1.0,2.0253,0.00871,15409
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,Describe symptoms of anxiety disorder,1.0,1.0,2.0253,0.01275,15409
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,What medications are used for HIV/AIDS?,0.9,0.9519,2.0253,0.006192,15522
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,How is pneumonia diagnosed?,1.0,1.0,2.0253,0.008481,14779
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,What causes inflammatory bowel disease?,1.0,1.0,2.0253,0.000443,15524
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,Describe treatment for chronic kidney disease,1.0,1.0,2.0253,0.008041,15216
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,What are symptoms of schizophrenia?,1.0,1.0,1.7481,0.011227,15084
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,How is bipolar disorder managed?,1.0,1.0,1.8867,0.009493,14879
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,What causes psoriasis?,1.0,1.0,1.8344,0.014649,17130
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,Describe sepsis treatment,1.0,1.0,2.0253,0.012824,15164
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,What are risk factors for cancer?,1.0,1.0,2.0253,0.000544,16446
1,H,Combined,1.0,5%,0.95,1.05,5.0,10,How is ALS diagnosed?,1.0,1.0,1.6957,0.010703,17044
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,What are the symptoms of type 2 diabetes?,1.0,1.0,2.0253,0.005377,19698
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,How is hypertension treated?,0.9,0.9513,2.164,0.007926,21903
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,What causes heart failure?,1.0,1.0,2.0253,0.001511,17942
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,Describe the symptoms of lupus,1.0,1.0,1.973,0.007989,17852
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,What medications treat depression?,1.0,1.0,1.8344,0.005832,17313
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,How does Alzheimer's disease progress?,1.0,1.0,2.0253,0.007744,17704
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,What are risk factors for stroke?,1.0,1.0,1.3592,0.007253,16809
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,How is asthma managed long-term?,1.0,1.0,2.0253,0.005119,16858
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,What are signs of kidney disease?,0.9,0.9463,1.5048,0.004756,16599
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,Describe rheumatoid arthritis treatment,1.0,1.0,2.0253,0.007472,16145
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,What causes Parkinson's disease?,1.0,1.0,2.0253,0.009499,16201
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,How is multiple sclerosis diagnosed?,1.0,1.0,1.973,0.008437,16016
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,What are symptoms of anemia?,1.0,1.0,2.0253,0.004624,17227
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,How is hypothyroidism treated?,1.0,1.0,1.6957,0.006382,16462
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,What causes chronic pain?,1.0,1.0,1.973,0.000466,16243
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,Describe COPD management,0.9,0.9644,1.8867,0.02036,17558
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,What are signs of liver disease?,1.0,1.0,1.8344,0.000773,17088
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,How is epilepsy treated?,1.0,1.0,1.8867,0.007734,16024
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,What causes osteoporosis?,1.0,1.0,2.164,0.008783,16186
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,Describe symptoms of anxiety disorder,0.9,0.9528,2.0253,0.012518,15383
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,What medications are used for HIV/AIDS?,1.0,1.0,2.0253,0.006119,15576
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,How is pneumonia diagnosed?,1.0,1.0,1.973,0.008195,16843
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,What causes inflammatory bowel disease?,1.0,1.0,1.8344,0.000453,16811
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,Describe treatment for chronic kidney disease,1.0,1.0,1.8867,0.00784,15904
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,What are symptoms of schizophrenia?,1.0,1.0,1.7481,0.011332,17139
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,How is bipolar disorder managed?,1.0,0.9999,2.0253,0.009316,16398
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,What causes psoriasis?,1.0,1.0,1.6957,0.014917,16335
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,Describe sepsis treatment,1.0,1.0,2.0253,0.012816,15128
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,What are risk factors for cancer?,1.0,1.0,2.0253,0.000545,16523
1,H,Combined,1.0,10%,0.9,1.1,10.0,10,How is ALS diagnosed?,1.0,1.0,1.8867,0.010451,19838
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,What are the symptoms of type 2 diabetes?,1.0,1.0,1.8344,0.005252,30650
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,How is hypertension treated?,0.9,0.9513,1.8867,0.007721,23887
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,What causes heart failure?,1.0,1.0,2.164,0.001551,20541
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,Describe the symptoms of lupus,1.0,1.0,1.973,0.007398,18641
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,What medications treat depression?,1.0,0.9999,1.8867,0.005425,16882
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,How does Alzheimer's disease progress?,1.0,0.9999,1.8867,0.007516,16868
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,What are risk factors for stroke?,0.9,0.941,1.3592,0.007145,16222
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,How is asthma managed long-term?,1.0,1.0,2.164,0.00516,16187
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,What are signs of kidney disease?,1.0,1.0,1.8344,0.004838,15843
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,Describe rheumatoid arthritis treatment,1.0,1.0,2.164,0.007275,16340
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,What causes Parkinson's disease?,1.0,0.9994,2.0253,0.009243,16726
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,How is multiple sclerosis diagnosed?,1.0,1.0,1.973,0.008667,15805
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,What are symptoms of anemia?,1.0,1.0,2.0253,0.00485,15918
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,How is hypothyroidism treated?,1.0,1.0,2.0253,0.006462,15440
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,What causes chronic pain?,0.9,0.9343,1.4979,0.000395,15543
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,Describe COPD management,0.9,0.9644,2.0253,0.01978,15767
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,What are signs of liver disease?,1.0,1.0,1.8344,0.000553,16489
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,How is epilepsy treated?,1.0,1.0,1.8867,0.007572,15678
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,What causes osteoporosis?,0.9,0.9557,2.164,0.008161,16119
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,Describe symptoms of anxiety disorder,1.0,1.0,2.0253,0.012315,15982
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,What medications are used for HIV/AIDS?,1.0,1.0,2.0253,0.005856,15546
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,How is pneumonia diagnosed?,0.9,0.9501,2.0253,0.008004,15318
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,What causes inflammatory bowel disease?,0.9,0.9407,2.3026,0.000479,16067
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,Describe treatment for chronic kidney disease,1.0,0.9999,2.0253,0.007675,15246
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,What are symptoms of schizophrenia?,1.0,1.0,1.8344,0.010594,14836
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,How is bipolar disorder managed?,0.9,0.9552,1.8867,0.009651,17394
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,What causes psoriasis?,1.0,1.0,1.8344,0.014359,15146
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,Describe sepsis treatment,1.0,1.0,1.8344,0.01223,14626
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,What are risk factors for cancer?,1.0,0.9999,2.164,0.000523,18208
1,H,Combined,1.0,20%,0.8,1.2,20.0,10,How is ALS diagnosed?,0.9,0.9564,1.7481,0.010546,15504
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,What are the symptoms of type 2 diabetes?,1.0,1.0,2.0253,0.005865,29566
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,How is hypertension treated?,0.9,0.9513,2.3026,0.006718,22919
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,What causes heart failure?,1.0,0.9996,2.164,0.001758,19207
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,Describe the symptoms of lupus,1.0,0.9999,1.973,0.006959,17952
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,What medications treat depression?,1.0,1.0,1.7481,0.004929,17637
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,How does Alzheimer's disease progress?,0.9,0.9537,1.8344,0.007264,15735
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,What are risk factors for stroke?,0.9,0.9434,1.2275,0.00688,15673
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,How is asthma managed long-term?,1.0,1.0,2.164,0.004243,15008
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,What are signs of kidney disease?,0.9,0.946,1.8344,0.00481,17441
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,Describe rheumatoid arthritis treatment,1.0,1.0,2.164,0.00679,18259
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,What causes Parkinson's disease?,1.0,0.9994,2.0253,0.007967,15324
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,How is multiple sclerosis diagnosed?,1.0,0.9998,1.8344,0.008326,16323
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,What are symptoms of anemia?,1.0,1.0,1.8867,0.004762,16251
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,How is hypothyroidism treated?,1.0,1.0,2.0253,0.006342,15332
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,What causes chronic pain?,0.9,0.9305,1.8344,0.000427,15326
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,Describe COPD management,0.9,0.9644,1.8867,0.018243,15255
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,What are signs of liver disease?,1.0,0.9999,2.0253,0.000629,15311
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,How is epilepsy treated?,1.0,1.0,2.0253,0.006369,15172
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,What causes osteoporosis?,0.9,0.9556,2.0253,0.007708,15730
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,Describe symptoms of anxiety disorder,1.0,1.0,2.0253,0.010789,14827
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,What medications are used for HIV/AIDS?,0.9,0.9519,2.164,0.00523,14801
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,How is pneumonia diagnosed?,1.0,1.0,1.8344,0.007046,14825
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,What causes inflammatory bowel disease?,1.0,0.998,2.0253,0.000396,16661
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,Describe treatment for chronic kidney disease,1.0,1.0,1.973,0.007765,15317
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,What are symptoms of schizophrenia?,1.0,0.9998,1.4979,0.010883,15143
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,How is bipolar disorder managed?,1.0,1.0,1.8344,0.008743,15832
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,What causes psoriasis?,1.0,1.0,1.5571,0.011895,15060
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,Describe sepsis treatment,0.9,0.9547,2.164,0.011462,15297
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,What are risk factors for cancer?,0.9,0.9395,2.0253,0.000462,15522
1,H,Combined,1.0,30%,0.7,1.3,30.0,10,How is ALS diagnosed?,1.0,0.9997,1.8344,0.009842,15316
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,What are the symptoms of type 2 diabetes?,0.9,0.9452,2.0253,0.004098,29190
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,How is hypertension treated?,0.9,0.9513,2.0253,0.005952,22700
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,What causes heart failure?,1.0,0.9998,2.164,0.001269,20015
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,Describe the symptoms of lupus,0.9,0.951,1.8867,0.005349,18698
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,What medications treat depression?,1.0,0.9999,1.973,0.003389,17835
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,How does Alzheimer's disease progress?,0.9,0.9509,1.6957,0.006348,17821
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,What are risk factors for stroke?,0.7,0.8234,1.4979,0.005832,16382
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,How is asthma managed long-term?,1.0,1.0,1.8344,0.00391,15874
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,What are signs of kidney disease?,0.9,0.9441,1.8344,0.003226,15850
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,Describe rheumatoid arthritis treatment,0.9,0.9515,1.8344,0.005173,16027
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,What causes Parkinson's disease?,1.0,1.0,2.0253,0.006669,15861
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,How is multiple sclerosis diagnosed?,1.0,1.0,1.8344,0.006108,15430
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,What are symptoms of anemia?,1.0,1.0,1.8867,0.003467,15180
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,How is hypothyroidism treated?,1.0,0.9994,1.973,0.004983,14688
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,What causes chronic pain?,0.9,0.9402,2.0253,0.000446,14912
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,Describe COPD management,0.9,0.9644,2.164,0.014148,14988
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,What are signs of liver disease?,1.0,0.9998,1.8867,0.000365,14732
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,How is epilepsy treated?,0.9,0.9493,2.164,0.004825,18899
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,What causes osteoporosis?,0.9,0.9556,1.8344,0.006163,18583
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,Describe symptoms of anxiety disorder,0.9,0.9523,2.164,0.009263,15199
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,What medications are used for HIV/AIDS?,1.0,1.0,1.6957,0.004427,15239
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,How is pneumonia diagnosed?,0.9,0.9476,1.8344,0.005669,14638
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,What causes inflammatory bowel disease?,1.0,0.9994,2.0253,0.000328,14942
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,Describe treatment for chronic kidney disease,1.0,0.9995,2.0253,0.005614,15710
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,What are symptoms of schizophrenia?,1.0,1.0,1.6957,0.006776,16080
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,How is bipolar disorder managed?,1.0,0.9997,1.8867,0.006264,15364
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,What causes psoriasis?,1.0,0.9978,1.6957,0.009628,15206
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,Describe sepsis treatment,1.0,1.0,2.164,0.008854,14930
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,What are risk factors for cancer?,0.9,0.9396,2.0253,0.000377,15748
1,H,Combined,1.0,50%,0.5,1.5,50.0,10,How is ALS diagnosed?,0.9,0.9564,1.8867,0.006978,14832
1,H,Combined,1.0,70%,0.3,1.7,70.0,10,What are the symptoms of type 2 diabetes?,1.0,0.9974,1.8867,0.002518,21747
1,H,Combined,1.0,70%,0.3,1.7,70.0,10,How is hypertension treated?,0.9,0.9513,2.0253,0.003243,21267
1,H,Combined,1.0,70%,0.3,1.7,70.0,10,What causes heart failure?,1.0,0.9983,2.164,0.000652,19928
1,H,Combined,1.0,70%,0.3,1.7,70.0,10,Describe the symptoms of lupus,1.0,0.9999,2.0253,0.003056,17096
1,H,Combined,1.0,70%,0.3,1.7,70.0,10,What medications treat depression?,1.0,0.9997,1.973,0.002548,15882
1,H,Combined,1.0,70%,0.3,1.7,70.0,10,How does Alzheimer's disease progress?,1.0,0.9985,1.5048,0.003041,16263
1,H,Combined,1.0,70%,0.3,1.7,70.0,10,What are risk factors for stroke?,0.9,0.9411,1.3592,0.00319,15035
1,H,Combined,1.0,70%,0.3,1.7,70.0,10,How is asthma managed long-term?,1.0,0.9985,2.164,0.002499,15023
1,H,Combined,1.0,70%,0.3,1.7,70.0,10,What are signs of kidney disease?,1.0,1.0,2.164,0.001778,16628
1,H,Combined,1.0,70%,0.3,1.7,70.0,10,Describe rheumatoid arthritis treatment,1.0,1.0,1.973,0.002883,15356
