trial,exp,algorithm,top_k,query,recall_at_k,ndcg_at_k,kendall_tau
1,E,Noise,50,Describe rheumatoid arthritis treatment,0.94,0.9698,0.9278
1,E,Combined,1,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,Combined,1,How is hypertension treated?,1.0,1.0,1.0
1,E,Combined,1,What causes heart failure?,1.0,1.0,1.0
1,E,Combined,1,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Combined,1,What medications treat depression?,1.0,1.0,1.0
1,E,Combined,1,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Combined,1,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Combined,1,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Combined,1,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Combined,1,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Combined,5,What are the symptoms of type 2 diabetes?,0.8,1.0,1.0
1,E,Combined,5,How is hypertension treated?,1.0,1.0,1.0
1,E,Combined,5,What causes heart failure?,1.0,1.0,1.0
1,E,Combined,5,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Combined,5,What medications treat depression?,1.0,1.0,1.0
1,E,Combined,5,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Combined,5,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Combined,5,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Combined,5,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Combined,5,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Combined,10,What are the symptoms of type 2 diabetes?,1.0,1.0,0.9111
1,E,Combined,10,How is hypertension treated?,0.9,0.999,1.0
1,E,Combined,10,What causes heart failure?,1.0,1.0,1.0
1,E,Combined,10,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Combined,10,What medications treat depression?,1.0,1.0,0.9111
1,E,Combined,10,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Combined,10,What are risk factors for stroke?,0.9,0.9998,0.9111
1,E,Combined,10,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Combined,10,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Combined,10,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Combined,20,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,Combined,20,How is hypertension treated?,1.0,1.0,1.0
1,E,Combined,20,What causes heart failure?,1.0,1.0,1.0
1,E,Combined,20,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Combined,20,What medications treat depression?,1.0,1.0,1.0
1,E,Combined,20,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Combined,20,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Combined,20,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Combined,20,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Combined,20,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Combined,50,What are the symptoms of type 2 diabetes?,0.98,0.989,0.9167
1,E,Combined,50,How is hypertension treated?,1.0,1.0,0.9559
1,E,Combined,50,What causes heart failure?,1.0,1.0,0.9771
1,E,Combined,50,Describe the symptoms of lupus,0.96,0.9787,0.9291
1,E,Combined,50,What medications treat depression?,0.96,0.9788,0.9433
1,E,Combined,50,How does Alzheimer's disease progress?,1.0,1.0,0.9657
1,E,Combined,50,What are risk factors for stroke?,0.96,0.977,0.9344
1,E,Combined,50,How is asthma managed long-term?,0.96,0.9813,0.9734
1,E,Combined,50,What are signs of kidney disease?,0.98,0.9896,0.9405
1,E,Combined,50,Describe rheumatoid arthritis treatment,1.0,1.0,0.9657
1,E,Rome,1,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,Rome,1,How is hypertension treated?,1.0,1.0,1.0
1,E,Rome,1,What causes heart failure?,1.0,1.0,1.0
1,E,Rome,1,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Rome,1,What medications treat depression?,1.0,1.0,1.0
1,E,Rome,1,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Rome,1,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Rome,1,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Rome,1,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Rome,1,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Rome,5,What are the symptoms of type 2 diabetes?,0.8,1.0,1.0
1,E,Rome,5,How is hypertension treated?,1.0,1.0,1.0
1,E,Rome,5,What causes heart failure?,1.0,1.0,1.0
1,E,Rome,5,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Rome,5,What medications treat depression?,1.0,0.9999,0.8
1,E,Rome,5,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Rome,5,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Rome,5,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Rome,5,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Rome,5,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Rome,10,What are the symptoms of type 2 diabetes?,1.0,1.0,0.8667
1,E,Rome,10,How is hypertension treated?,1.0,1.0,1.0
1,E,Rome,10,What causes heart failure?,1.0,1.0,1.0
1,E,Rome,10,Describe the symptoms of lupus,1.0,1.0,0.9556
1,E,Rome,10,What medications treat depression?,1.0,0.9999,0.8667
1,E,Rome,10,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Rome,10,What are risk factors for stroke?,0.9,0.9997,0.8667
1,E,Rome,10,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Rome,10,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Rome,10,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Rome,20,What are the symptoms of type 2 diabetes?,1.0,1.0,0.9579
1,E,Rome,20,How is hypertension treated?,1.0,1.0,0.9368
1,E,Rome,20,What causes heart failure?,1.0,1.0,0.9895
1,E,Rome,20,Describe the symptoms of lupus,1.0,1.0,0.9684
1,E,Rome,20,What medications treat depression?,1.0,1.0,0.9579
1,E,Rome,20,How does Alzheimer's disease progress?,0.95,0.9997,1.0
1,E,Rome,20,What are risk factors for stroke?,0.95,0.9998,0.8842
1,E,Rome,20,How is asthma managed long-term?,1.0,1.0,0.9684
1,E,Rome,20,What are signs of kidney disease?,1.0,1.0,0.9474
1,E,Rome,20,Describe rheumatoid arthritis treatment,1.0,1.0,0.9579
1,E,Rome,50,What are the symptoms of type 2 diabetes?,0.98,0.989,0.9116
1,E,Rome,50,How is hypertension treated?,1.0,1.0,0.9624
1,E,Rome,50,What causes heart failure?,1.0,1.0,0.9739
1,E,Rome,50,Describe the symptoms of lupus,0.96,0.9787,0.9255
1,E,Rome,50,What medications treat depression?,0.96,0.9788,0.9433
1,E,Rome,50,How does Alzheimer's disease progress?,1.0,1.0,0.9657
1,E,Rome,50,What are risk factors for stroke?,0.98,0.9884,0.9439
1,E,Rome,50,How is asthma managed long-term?,0.96,0.9813,0.9734
1,E,Rome,50,What are signs of kidney disease?,0.96,0.979,0.9433
1,E,Rome,50,Describe rheumatoid arthritis treatment,1.0,1.0,0.9657
1,E,RomeCombined,1,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,RomeCombined,1,How is hypertension treated?,1.0,1.0,1.0
1,E,RomeCombined,1,What causes heart failure?,1.0,1.0,1.0
1,E,RomeCombined,1,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,RomeCombined,1,What medications treat depression?,1.0,1.0,1.0
1,E,RomeCombined,1,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,RomeCombined,1,What are risk factors for stroke?,1.0,1.0,1.0
1,E,RomeCombined,1,How is asthma managed long-term?,1.0,1.0,1.0
1,E,RomeCombined,1,What are signs of kidney disease?,1.0,1.0,1.0
1,E,RomeCombined,1,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,RomeCombined,5,What are the symptoms of type 2 diabetes?,0.8,1.0,1.0
1,E,RomeCombined,5,How is hypertension treated?,1.0,1.0,1.0
1,E,RomeCombined,5,What causes heart failure?,1.0,1.0,1.0
1,E,RomeCombined,5,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,RomeCombined,5,What medications treat depression?,1.0,1.0,1.0
1,E,RomeCombined,5,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,RomeCombined,5,What are risk factors for stroke?,1.0,1.0,1.0
1,E,RomeCombined,5,How is asthma managed long-term?,1.0,1.0,1.0
1,E,RomeCombined,5,What are signs of kidney disease?,1.0,1.0,1.0
1,E,RomeCombined,5,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,RomeCombined,10,What are the symptoms of type 2 diabetes?,1.0,1.0,0.9556
1,E,RomeCombined,10,How is hypertension treated?,1.0,1.0,1.0
1,E,RomeCombined,10,What causes heart failure?,1.0,1.0,1.0
1,E,RomeCombined,10,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,RomeCombined,10,What medications treat depression?,1.0,1.0,0.9111
1,E,RomeCombined,10,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,RomeCombined,10,What are risk factors for stroke?,0.8,0.998,0.8667
1,E,RomeCombined,10,How is asthma managed long-term?,1.0,1.0,1.0
1,E,RomeCombined,10,What are signs of kidney disease?,1.0,1.0,1.0
1,E,RomeCombined,10,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,RomeCombined,20,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,RomeCombined,20,How is hypertension treated?,1.0,1.0,1.0
1,E,RomeCombined,20,What causes heart failure?,1.0,1.0,1.0
1,E,RomeCombined,20,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,RomeCombined,20,What medications treat depression?,1.0,1.0,1.0
1,E,RomeCombined,20,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,RomeCombined,20,What are risk factors for stroke?,1.0,1.0,1.0
1,E,RomeCombined,20,How is asthma managed long-term?,1.0,1.0,1.0
1,E,RomeCombined,20,What are signs of kidney disease?,1.0,1.0,1.0
1,E,RomeCombined,20,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,RomeCombined,50,What are the symptoms of type 2 diabetes?,0.98,0.989,0.8844
1,E,RomeCombined,50,How is hypertension treated?,0.98,0.9896,0.9184
1,E,RomeCombined,50,What causes heart failure?,0.98,0.9908,0.9728
1,E,RomeCombined,50,Describe the symptoms of lupus,0.96,0.9782,0.8812
1,E,RomeCombined,50,What medications treat depression?,0.98,0.9893,0.9422
1,E,RomeCombined,50,How does Alzheimer's disease progress?,0.98,0.9915,0.9643
1,E,RomeCombined,50,What are risk factors for stroke?,0.98,0.9881,0.8963
1,E,RomeCombined,50,How is asthma managed long-term?,0.94,0.9716,0.9482
1,E,RomeCombined,50,What are signs of kidney disease?,0.96,0.9789,0.9238
1,E,RomeCombined,50,Describe rheumatoid arthritis treatment,0.98,0.9902,0.9507
1,E,Ckks,1,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,Ckks,1,How is hypertension treated?,1.0,1.0,1.0
1,E,Ckks,1,What causes heart failure?,1.0,1.0,1.0
1,E,Ckks,1,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Ckks,1,What medications treat depression?,1.0,1.0,1.0
1,E,Ckks,1,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Ckks,1,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Ckks,1,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Ckks,1,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Ckks,1,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Ckks,5,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,Ckks,5,How is hypertension treated?,1.0,1.0,1.0
1,E,Ckks,5,What causes heart failure?,1.0,1.0,1.0
1,E,Ckks,5,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Ckks,5,What medications treat depression?,1.0,0.9999,0.8
1,E,Ckks,5,How does Alzheimer's disease progress?,1.0,0.9998,0.8
1,E,Ckks,5,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Ckks,5,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Ckks,5,What are signs of kidney disease?,0.8,0.9974,1.0
1,E,Ckks,5,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Ckks,10,What are the symptoms of type 2 diabetes?,1.0,1.0,0.9556
1,E,Ckks,10,How is hypertension treated?,0.9,0.9986,0.9556
1,E,Ckks,10,What causes heart failure?,1.0,1.0,0.9556
1,E,Ckks,10,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Ckks,10,What medications treat depression?,1.0,1.0,0.9111
1,E,Ckks,10,How does Alzheimer's disease progress?,0.9,0.9993,0.9556
1,E,Ckks,10,What are risk factors for stroke?,0.9,0.9982,0.8222
1,E,Ckks,10,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Ckks,10,What are signs of kidney disease?,1.0,0.9998,0.8667
1,E,Ckks,10,Describe rheumatoid arthritis treatment,1.0,0.9999,0.9556
1,E,Ckks,20,What are the symptoms of type 2 diabetes?,1.0,0.9999,0.9368
1,E,Ckks,20,How is hypertension treated?,0.95,0.9996,0.9263
1,E,Ckks,20,What causes heart failure?,1.0,0.9999,0.9474
1,E,Ckks,20,Describe the symptoms of lupus,0.95,0.9995,0.9895
1,E,Ckks,20,What medications treat depression?,1.0,0.9999,0.9368
1,E,Ckks,20,How does Alzheimer's disease progress?,0.95,0.9994,0.9684
1,E,Ckks,20,What are risk factors for stroke?,0.95,0.9992,0.8105
1,E,Ckks,20,How is asthma managed long-term?,1.0,0.9999,0.9158
1,E,Ckks,20,What are signs of kidney disease?,0.95,0.9995,0.9368
1,E,Ckks,20,Describe rheumatoid arthritis treatment,1.0,0.9999,0.9474
1,E,Ckks,50,What are the symptoms of type 2 diabetes?,0.96,0.9779,0.828
1,E,Ckks,50,How is hypertension treated?,0.98,0.9897,0.9337
1,E,Ckks,50,What causes heart failure?,0.96,0.9816,0.9574
1,E,Ckks,50,Describe the symptoms of lupus,0.94,0.9675,0.8834
1,E,Ckks,50,What medications treat depression?,0.96,0.9785,0.945
1,E,Ckks,50,How does Alzheimer's disease progress?,0.98,0.9915,0.9677
1,E,Ckks,50,What are risk factors for stroke?,0.96,0.9768,0.8812
1,E,Ckks,50,How is asthma managed long-term?,0.96,0.9808,0.9468
1,E,Ckks,50,What are signs of kidney disease?,0.96,0.9789,0.9202
1,E,Ckks,50,Describe rheumatoid arthritis treatment,0.98,0.9901,0.9388
1,E,CkksCombined,1,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,CkksCombined,1,How is hypertension treated?,1.0,1.0,1.0
1,E,CkksCombined,1,What causes heart failure?,1.0,1.0,1.0
1,E,CkksCombined,1,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,CkksCombined,1,What medications treat depression?,1.0,1.0,1.0
1,E,CkksCombined,1,How does Alzheimer's disease progress?,0.0,0.9822,1.0
1,E,CkksCombined,1,What are risk factors for stroke?,1.0,1.0,1.0
1,E,CkksCombined,1,How is asthma managed long-term?,1.0,1.0,1.0
1,E,CkksCombined,1,What are signs of kidney disease?,1.0,1.0,1.0
1,E,CkksCombined,1,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,CkksCombined,5,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,CkksCombined,5,How is hypertension treated?,0.8,0.9981,1.0
1,E,CkksCombined,5,What causes heart failure?,1.0,0.9995,0.8
1,E,CkksCombined,5,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,CkksCombined,5,What medications treat depression?,1.0,0.9999,0.8
1,E,CkksCombined,5,How does Alzheimer's disease progress?,0.8,0.9936,0.6
1,E,CkksCombined,5,What are risk factors for stroke?,0.8,0.9887,1.0
1,E,CkksCombined,5,How is asthma managed long-term?,1.0,0.9978,0.6
1,E,CkksCombined,5,What are signs of kidney disease?,0.8,0.9969,0.8
1,E,CkksCombined,5,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,CkksCombined,10,What are the symptoms of type 2 diabetes?,0.8,0.9886,0.6889
1,E,CkksCombined,10,How is hypertension treated?,0.9,0.9986,0.8222
1,E,CkksCombined,10,What causes heart failure?,0.9,0.9968,0.9111
1,E,CkksCombined,10,Describe the symptoms of lupus,1.0,0.9997,0.8667
1,E,CkksCombined,10,What medications treat depression?,0.9,0.9956,0.9111
1,E,CkksCombined,10,How does Alzheimer's disease progress?,0.9,0.9945,0.6889
1,E,CkksCombined,10,What are risk factors for stroke?,0.6,0.9919,0.5111
1,E,CkksCombined,10,How is asthma managed long-term?,1.0,0.9981,0.7778
1,E,CkksCombined,10,What are signs of kidney disease?,0.8,0.9934,0.8222
1,E,CkksCombined,10,Describe rheumatoid arthritis treatment,0.9,0.9966,0.9556
1,E,CkksCombined,20,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,CkksCombined,20,How is hypertension treated?,1.0,1.0,1.0
1,E,CkksCombined,20,What causes heart failure?,1.0,1.0,1.0
1,E,CkksCombined,20,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,CkksCombined,20,What medications treat depression?,1.0,1.0,1.0
1,E,CkksCombined,20,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,CkksCombined,20,What are risk factors for stroke?,1.0,1.0,1.0
1,E,CkksCombined,20,How is asthma managed long-term?,1.0,1.0,1.0
1,E,CkksCombined,20,What are signs of kidney disease?,1.0,1.0,1.0
1,E,CkksCombined,20,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,CkksCombined,50,What are the symptoms of type 2 diabetes?,0.96,0.9758,0.7216
1,E,CkksCombined,50,How is hypertension treated?,0.98,0.9894,0.8656
1,E,CkksCombined,50,What causes heart failure?,0.94,0.9709,0.913
1,E,CkksCombined,50,Describe the symptoms of lupus,0.88,0.9332,0.7759
1,E,CkksCombined,50,What medications treat depression?,0.94,0.9673,0.8797
1,E,CkksCombined,50,How does Alzheimer's disease progress?,0.98,0.9914,0.9099
1,E,CkksCombined,50,What are risk factors for stroke?,0.96,0.9766,0.8475
1,E,CkksCombined,50,How is asthma managed long-term?,0.94,0.9715,0.9371
1,E,CkksCombined,50,What are signs of kidney disease?,0.96,0.9781,0.8635
1,E,CkksCombined,50,Describe rheumatoid arthritis treatment,0.96,0.9796,0.8954
2,E,Scrambling,1,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
2,E,Scrambling,1,How is hypertension treated?,1.0,1.0,1.0
2,E,Scrambling,1,What causes heart failure?,1.0,1.0,1.0
2,E,Scrambling,1,Describe the symptoms of lupus,1.0,1.0,1.0
2,E,Scrambling,1,What medications treat depression?,1.0,1.0,1.0
2,E,Scrambling,1,How does Alzheimer's disease progress?,1.0,1.0,1.0
2,E,Scrambling,1,What are risk factors for stroke?,1.0,1.0,1.0
2,E,Scrambling,1,How is asthma managed long-term?,1.0,1.0,1.0
2,E,Scrambling,1,What are signs of kidney disease?,1.0,1.0,1.0
2,E,Scrambling,1,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
2,E,Scrambling,5,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
2,E,Scrambling,5,How is hypertension treated?,1.0,1.0,1.0
2,E,Scrambling,5,What causes heart failure?,1.0,1.0,1.0
2,E,Scrambling,5,Describe the symptoms of lupus,1.0,1.0,1.0
2,E,Scrambling,5,What medications treat depression?,1.0,1.0,1.0
2,E,Scrambling,5,How does Alzheimer's disease progress?,1.0,1.0,1.0
2,E,Scrambling,5,What are risk factors for stroke?,1.0,1.0,1.0
2,E,Scrambling,5,How is asthma managed long-term?,1.0,1.0,0.8
2,E,Scrambling,5,What are signs of kidney disease?,1.0,1.0,0.8
2,E,Scrambling,5,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
2,E,Scrambling,10,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
2,E,Scrambling,10,How is hypertension treated?,1.0,1.0,1.0
2,E,Scrambling,10,What causes heart failure?,1.0,1.0,1.0
2,E,Scrambling,10,Describe the symptoms of lupus,1.0,1.0,1.0
2,E,Scrambling,10,What medications treat depression?,1.0,1.0,1.0
2,E,Scrambling,10,How does Alzheimer's disease progress?,1.0,1.0,1.0
2,E,Scrambling,10,What are risk factors for stroke?,1.0,1.0,1.0
2,E,Scrambling,10,How is asthma managed long-term?,1.0,1.0,0.9556
